SESSION,ANIMAL_ID,grid_50m_ID,SO,SEX
10,MFBlue21,846,39,1
10,FCYellow21,963,41,0
10,FARed21,1002,42,0
10,FCCCWhite,966,42,0
10,FCYellow21,1002,42,0
10,MBRed21,1002,42,1
10,MARed21,1041,43,1
10,FCYellow21,816,44,0
10,FCCCWhite,966,46,0
10,FCYellow21,965,46,0
10,MBRed21,891,49,1
10,MBRed21,705,52,1
10,FCCCWhite,1118,53,0
10,FCCCWhite,1042,58,0
10,FCCCWhite,966,60,0
11,FBYellow21,731,1,0
11,FCYellow21,851,1,0
11,FBYellow21,812,4,0
11,FFYellow21,964,4,0
11,FCCCWhite,1042,5,0
11,FFYellow21,962,5,0
11,FCCCWhite,1001,6,0
11,MBBBOrange22,889,6,1
11,FARed21,844,9,0
11,FCCCWhite,1001,9,0
11,FFYellow21,963,9,0
11,MBGreen22,1041,9,1
11,FCYellow21,806,10,0
11,FBYellow21,844,11,0
11,FCYellow21,806,11,0
11,MBGreen22,887,11,1
11,MEEEGreen22,885,11,1
11,FBYellow21,768,12,0
11,FCCCWhite,1042,12,0
11,FBYellow21,806,13,0
11,FFYellow21,885,13,0
11,FARed21,1041,14,0
11,FCCCWhite,1043,14,0
11,MBBBOrange22,668,14,1
11,MBGreen22,807,14,1
11,MBGreen22,1041,15,1
11,MEEEGreen22,923,15,1
11,FBYellow21,768,16,0
11,FFYellow21,849,16,0
11,FARed21,692,17,0
11,FBYellow21,696,17,0
11,FCCCWhite,1004,17,0
11,FCYellow21,1004,17,0
11,FFYellow21,885,17,0
11,MBBBOrange22,665,17,1
,,,,
