"Title: Habitat and predator heterogeneity influence density of a declining mammal. Habitat composition (2015–2022) used in the density modelling of hedgehogs at Brackenhurst, Southwell, England. X and Y indicate the longitude/1000 and latitude/1000 (EPSG:27700) of the centroid of the 50 x 50 m grid cell, respectively; d2build and d2badger indicate euclidean distance (m) from the centroid of the 50 x 50 m grid cell to the nearest building and to the nearest badger sett, respectively; edge_length refers to edge density, the total length (m) of all types of edges within each  50 x 50 m grid cell. BUILDING, BADGER, and EDGE indicate the standardised z-score values of d2build,  d2badger, and edge_length, respectively. SOIL: Soil types (categorical: type 0, low permeability, and type 1, high permeability). LANDUSE: Land use (categorical: 0, arable; 1, amenity; 2, pasture).",,,,,,,,,
X,Y,d2build,d2badger,edge_length,BUILDING,BADGER,EDGE,SOIL,LANDUSE
469.5509048,353.0390519,89.159695,26.920296,30.550547,-0.922963895,-2.057014248,0.438500136,0,Arable
469.6009048,353.0390519,44.422218,56.703821,77.398121,-1.106518499,-1.946853775,2.388695478,0,Arable
469.6509048,353.0390519,26.365692,103.469533,23.367764,-1.180603105,-1.773881201,0.139491454,0,Amenity
469.7009048,353.0390519,36.634489,152.304187,43.614384,-1.138470983,-1.593256222,0.982328296,0,Amenity
469.7509048,353.0390519,54.74717,201.71065,68.678245,-1.064155974,-1.41051629,2.025699854,0,Arable
469.8009048,353.0390519,38.658339,251.351959,53.136177,-1.130167274,-1.226907732,1.378706574,0,Arable
469.8509048,353.0390519,67.376127,301.111986,7.058776,-1.012340283,-1.042860071,-0.539427698,0,Pasture
469.9009048,353.0390519,39.234771,350.940236,11.229928,-1.127802212,-0.858560073,-0.365788788,0,Pasture
469.9509048,353.0390519,28.578319,400.811265,11.494977,-1.171524859,-0.674101848,-0.354755163,0,Pasture
470.0009048,353.0390519,68.099533,417.712175,23.178527,-1.009372202,-0.611590368,0.131613761,0,Pasture
470.0509048,353.0390519,114.539954,391.885381,21.955183,-0.818830544,-0.70711606,0.080687761,0,Arable
470.1009048,353.0390519,162.537366,371.032132,21.671588,-0.621900668,-0.784246077,0.068882085,0,Arable
470.1509048,353.0390519,211.464866,356.027434,0,-0.421154707,-0.839744028,-0.833274126,0,Arable
470.2009048,353.0390519,260.799508,347.629436,0.166292,-0.218738269,-0.870805746,-0.826351643,0,Arable
470.2509048,353.0390519,310.347189,346.319095,40.945809,-0.015447751,-0.87565231,0.871239603,0,Arable
470.3009048,353.0390519,360.019961,352.175533,25.814561,0.188356004,-0.853991074,0.241347998,0,Arable
470.3509048,353.0390519,409.772335,364.853802,0,0.392486363,-0.807097897,-0.833274126,0,Arable
470.4009048,353.0390519,459.578459,383.678234,9.560606,0.596837258,-0.737471876,-0.435280174,0,Arable
470.4509048,353.0390519,509.42257,407.798576,53.14412,0.801344004,-0.648257846,1.379037261,0,Arable
470.5009048,353.0390519,559.29451,436.337449,21.478461,1.005964934,-0.542700974,0.06084251,0,Arable
470.5509048,353.0390519,596.355662,468.488057,0.36668,1.158024137,-0.423785359,-0.818009794,0,Arable
470.6009048,353.0390519,630.473407,503.559084,0,1.298006755,-0.294067976,-0.833274126,0,Arable
470.6509048,353.0390519,666.598349,540.982848,53.467028,1.446224754,-0.155648512,1.39247942,0,Arable
470.7009048,353.0390519,704.421749,580.304344,11.414298,1.601411403,-0.010209898,-0.358113736,0,Pasture
470.7509048,353.0390519,743.684504,621.163282,31.610105,1.762503622,0.14091526,0.482607991,0,Pasture
470.8009048,353.0390519,784.170443,663.275594,2.608754,1.928614473,0.29667628,-0.724675536,0,Arable
470.8509048,353.0390519,824.836234,706.41716,10.202406,2.095463246,0.456244206,-0.408563018,0,Arable
470.9009048,353.0390519,833.030386,750.410485,11.002971,2.129083254,0.618962537,-0.37523666,0,Arable
469.1009048,352.9890519,533.602684,456.619236,16.464543,0.900553249,-0.467684627,-0.147879496,0,Arable
469.1509048,352.9890519,483.604259,407.420848,5.77972,0.69541336,-0.649654951,-0.592672884,0,Arable
469.2009048,352.9890519,433.606197,358.444373,20.65894,0.490274961,-0.830804484,0.026727127,0,Arable
469.2509048,352.9890519,383.60864,309.795077,0,0.285138635,-1.010743879,-0.833274126,0,Arable
469.3009048,352.9890519,333.611816,261.655519,5.970734,0.080005314,-1.188797903,-0.584721267,0,Arable
469.3509048,352.9890519,283.616111,214.369381,22.415346,-0.125123413,-1.363695378,0.099843644,0,Arable
469.4009048,352.9890519,233.622245,168.656019,38.477976,-0.330244597,-1.532775619,0.768507302,0,Arable
469.4509048,352.9890519,183.631719,126.235786,29.470889,-0.535352076,-1.689675548,0.393555492,0,Arable
469.5009048,352.9890519,133.648281,91.793761,2.061303,-0.740430474,-1.817066438,-0.747465134,0,Arable
469.5509048,352.9890519,83.684633,76.92019,0,-0.945427674,-1.872079389,-0.833274126,0,Arable
469.6009048,352.9890519,33.828577,91.69153,74.860618,-1.149983432,-1.81744456,2.283063173,0,Arable
469.6509048,352.9890519,6.635462,126.087103,54.940902,-1.261554799,-1.690225482,1.453834653,0,Amenity
469.7009048,352.9890519,4.66103,168.489105,40.05916,-1.26965575,-1.533392985,0.834329724,0,Arable
469.7509048,352.9890519,8.708421,214.194303,28.037256,-1.253049599,-1.36434294,0.333875477,0,Arable
469.8009048,352.9890519,6.666786,261.476233,45.704652,-1.261426278,-1.189461029,1.06934309,0,Arable
469.8509048,352.9890519,52.28102,309.613374,65.480813,-1.074274406,-1.011415944,1.89259541,0,Arable
469.9009048,352.9890519,4.698326,358.261165,58.384504,-1.269502725,-0.831482116,1.597186804,0,Pasture
469.9509048,352.9890519,14.268656,407.236643,11.156331,-1.230236362,-0.650336271,-0.368852526,0,Arable
470.0009048,352.9890519,59.182672,456.434338,0,-1.045957431,-0.46836851,-0.833274126,0,Arable
470.0509048,352.9890519,108.63509,436.657201,0,-0.843057769,-0.541518305,-0.833274126,0,Arable
470.1009048,352.9890519,158.431616,418.043301,22.506122,-0.638746258,-0.61036563,0.103622504,0,Arable
470.1509048,352.9890519,208.325637,404.784996,0,-0.434034731,-0.65940419,-0.833274126,0,Arable
470.2009048,352.9890519,258.260654,397.41865,22.12863,-0.229155003,-0.68665013,0.087908097,0,Arable
470.2509048,352.9890519,308.216741,396.272979,1.538443,-0.024188824,-0.690887629,-0.769231021,0,Arable
470.3009048,352.9890519,358.185083,401.401252,37.929408,0.180827636,-0.67191966,0.745671272,0,Arable
470.3509048,352.9890519,408.161179,412.569577,41.953817,0.385875909,-0.630611321,0.913201451,0,Arable
470.4009048,352.9890519,458.142491,429.306821,12.154908,0.590945584,-0.568705193,-0.327283204,0,Arable
470.4509048,352.9890519,494.592919,450.993389,27.058408,0.74049903,-0.488492975,0.293127507,0,Arable
470.5009048,352.9890519,525.812511,476.954639,9.450547,0.868590738,-0.39246997,-0.439861745,0,Arable
470.5509048,352.9890519,559.763734,506.533729,0,1.007890129,-0.283065641,-0.833274126,0,Arable
470.6009048,352.9890519,595.979933,539.135521,11.934863,1.156482546,-0.16248123,-0.336443365,0,Arable
470.6509048,352.9890519,634.07312,574.245418,27.153786,1.312776113,-0.032620078,0.297097981,0,Pasture
470.7009048,352.9890519,673.724991,611.43151,28.906288,1.475464844,0.104920307,0.37005204,0,Pasture
470.7509048,352.9890519,714.676154,650.337744,39.04283,1.643484477,0.248822989,0.792021394,0,Pasture
470.8009048,352.9890519,756.715697,690.673492,5.669896,1.815969655,0.398013022,-0.59724474,0,Arable
470.8509048,352.9890519,775.318913,732.202543,0,1.892297291,0.551616731,-0.833274126,0,Arable
470.9009048,352.9890519,784.030757,774.733021,10.469995,1.928041351,0.708924423,-0.397423685,0,Arable
469.1009048,352.9390519,536.316146,467.646383,22.364764,0.911686384,-0.426898463,0.097738035,0,Arable
469.1509048,352.9390519,486.596612,419.742494,47.537111,0.707690767,-0.604080817,1.145625591,0,Arable
469.2009048,352.9390519,436.941092,372.390094,52.249823,0.503957792,-0.779223376,1.341808915,0,Arable
469.2509048,352.9390519,387.374202,325.829715,26.22946,0.300588462,-0.951436483,0.258619577,0,Arable
469.3009048,352.9390519,337.934946,280.4561,16.410766,0.0977428,-1.1192601,-0.150118113,0,Arable
469.3509048,352.9390519,288.688902,236.951989,0,-0.104310121,-1.280168973,-0.833274126,0,Arable
469.4009048,352.9390519,239.755161,196.562626,0.170369,-0.305081691,-1.429557312,-0.826181948,0,Arable
469.4509048,352.9390519,191.373436,161.639992,20.454835,-0.503588377,-1.558725833,0.018230507,0,Arable
469.5009048,352.9390519,144.100822,136.448187,0,-0.697544463,-1.651902889,-0.833274126,0,Arable
469.5509048,352.9390519,99.530405,126.920167,0,-0.880413627,-1.687144224,-0.833274126,0,Arable
469.6009048,352.9390519,63.620409,136.379433,62.919103,-1.027749722,-1.65215719,1.785955191,0,Arable
469.6509048,352.9390519,52.410229,161.523902,0,-1.073744272,-1.559155216,-0.833274126,0,Arable
469.7009048,352.9390519,36.422242,196.419428,0,-1.139341815,-1.430086959,-0.833274126,0,Arable
469.7509048,352.9390519,28.119793,236.793608,32.68747,-1.173406157,-1.280754778,0.527457118,0,Arable
469.8009048,352.9390519,48.459368,280.28884,4.816025,-1.089954367,-1.119878745,-0.632790148,0,Arable
469.8509048,352.9390519,30.534317,325.656959,55.349771,-1.163499542,-0.952075456,1.470855236,0,Arable
469.9009048,352.9390519,1.782256,372.21375,28.292615,-1.281467151,-0.77987562,0.344505727,0,Arable
469.9509048,352.9390519,46.016893,419.563698,0,-1.099975661,-0.60474213,-0.833274126,0,Arable
470.0009048,352.9390519,84.763025,467.465847,0,-0.941003109,-0.427566212,-0.833274126,0,Arable
470.0509048,352.9390519,124.433776,482.457117,0,-0.778236915,-0.372117927,-0.833274126,0,Arable
470.1009048,352.9390519,169.654823,465.677529,16.271235,-0.592698262,-0.434180673,-0.155926555,0,Arable
470.1509048,352.9390519,216.983301,453.813014,13.321821,-0.398512969,-0.478064014,-0.278706372,0,Arable
470.2009048,352.9390519,265.2937,447.254896,17.219273,-0.20029893,-0.502320558,-0.116461165,0,Arable
470.2509048,352.9390519,314.133318,446.237194,0,8.65E-05,-0.506084737,-0.833274126,0,Arable
470.3009048,352.9390519,363.288777,450.797431,23.544971,0.201767719,-0.489217766,0.146868318,0,Arable
470.3509048,352.9390519,398.251472,460.770023,2.729551,0.345217106,-0.45233209,-0.719646931,0,Arable
470.4009048,352.9390519,424.80687,475.81478,19.147201,0.454171964,-0.396685972,-0.036204439,0,Arable
470.4509048,352.9390519,455.321335,495.469874,12.321343,0.579370587,-0.323987577,-0.320354789,0,Arable
