grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9
616,469.4509048,351.9890519,0,0,0,0,0,0,0,0,0
617,469.5009048,351.9890519,0,0,0,0,0,0,0,0,0
618,469.5509048,351.9890519,0,0,0,0,0,0,0,0,0
619,469.6009048,351.9890519,0,0,0,0,0,0,0,0,0
620,469.6509048,351.9890519,0,0,0,0,0,0,0,0,0
621,469.7009048,351.9890519,0,0,0,0,0,0,0,0,0
622,469.7509048,351.9890519,0,0,0,0,0,0,0,0,0
623,469.8009048,351.9890519,0,0,0,0,0,0,0,0,0
624,469.8509048,351.9890519,0,0,0,0,0,0,0,0,0
625,469.9009048,351.9890519,0,0,0,0,0,0,0,0,0
626,469.9509048,351.9890519,0,0,0,0,0,0,0,0,0
627,470.0009048,351.9890519,0,0,0,0,0,0,0,0,0
628,470.0509048,351.9890519,0,0,0,0,0,0,0,0,0
629,470.1009048,351.9890519,0,0,0,0,0,0,0,0,0
630,470.1509048,351.9890519,0,0,0,0,0,0,0,0,0
631,470.2009048,351.9890519,0,0,0,0,0,0,0,0,0
632,470.2509048,351.9890519,0,0,0,0,0,0,0,0,0
633,470.3009048,351.9890519,0,0,0,0,0,0,0,0,0
634,470.3509048,351.9890519,1,1,1,1,1,1,1,1,1
635,470.4009048,351.9890519,1,1,1,1,1,1,1,1,1
636,470.4509048,351.9890519,0,0,0,0,0,0,0,0,0
637,470.5009048,351.9890519,0,0,0,0,0,0,0,0,0
638,470.5509048,351.9890519,0,0,0,0,0,0,0,0,0
639,470.6009048,351.9890519,0,0,0,0,0,0,0,0,0
650,469.2509048,352.0390519,1,1,1,1,1,1,1,1,1
651,469.3009048,352.0390519,1,1,1,1,1,1,1,1,1
652,469.3509048,352.0390519,1,1,1,1,1,1,1,1,1
653,469.4009048,352.0390519,0,0,0,0,0,0,0,0,0
654,469.4509048,352.0390519,0,0,0,0,0,0,0,0,0
655,469.5009048,352.0390519,1,1,1,1,1,1,1,1,1
656,469.5509048,352.0390519,1,1,1,1,1,1,1,1,1
657,469.6009048,352.0390519,1,1,1,1,1,1,1,1,1
658,469.6509048,352.0390519,1,1,1,1,1,1,1,1,1
659,469.7009048,352.0390519,1,1,1,1,1,1,1,1,1
660,469.7509048,352.0390519,1,1,1,1,1,1,1,1,1
661,469.8009048,352.0390519,1,1,1,1,1,1,1,1,1
662,469.8509048,352.0390519,1,1,1,1,1,1,1,1,1
663,469.9009048,352.0390519,1,1,1,1,1,1,1,1,1
664,469.9509048,352.0390519,1,1,1,1,1,1,1,1,1
665,470.0009048,352.0390519,1,1,1,1,1,1,1,1,1
666,470.0509048,352.0390519,1,1,1,1,1,1,1,1,1
667,470.1009048,352.0390519,1,1,1,1,1,1,1,1,1
668,470.1509048,352.0390519,1,1,1,1,1,1,1,1,1
669,470.2009048,352.0390519,0,0,0,0,0,0,0,0,0
670,470.2509048,352.0390519,0,0,0,0,0,0,0,0,0
671,470.3009048,352.0390519,0,0,0,0,0,0,0,0,0
672,470.3509048,352.0390519,1,1,1,1,1,1,1,1,1
673,470.4009048,352.0390519,1,1,1,1,1,1,1,1,1
674,470.4509048,352.0390519,0,0,0,0,0,0,0,0,0
675,470.5009048,352.0390519,0,0,0,0,0,0,0,0,0
676,470.5509048,352.0390519,0,0,0,0,0,0,0,0,0
677,470.6009048,352.0390519,0,0,0,0,0,0,0,0,0
678,470.6509048,352.0390519,0,0,0,0,0,0,0,0,0
690,469.3509048,352.0890519,1,1,1,1,1,1,1,1,1
691,469.4009048,352.0890519,1,1,1,1,1,1,1,1,1
692,469.4509048,352.0890519,1,1,1,1,1,1,1,1,1
693,469.5009048,352.0890519,1,1,1,1,1,1,1,1,1
694,469.5509048,352.0890519,1,1,1,1,1,1,1,1,1
695,469.6009048,352.0890519,1,1,1,1,1,1,1,1,1
696,469.6509048,352.0890519,1,1,1,1,1,1,1,1,1
697,469.7009048,352.0890519,1,1,1,1,1,1,1,1,1
698,469.7509048,352.0890519,1,1,1,1,1,1,1,1,1
