X,Y,d2build_km,d2badger_km,edge_length_km,BUILDING,BADGER,EDGE,SOIL,LANDUSE
470.1009048,352.9390519,0.169654823,0.465677529,0.016271235,-0.592698262,-0.703846302,-0.155926555,0,Arable
470.1509048,352.9390519,0.216983301,0.453813014,0.013321821,-0.398512969,-0.744367117,-0.278706372,0,Arable
470.2009048,352.9390519,0.2652937,0.447254896,0.017219273,-0.20029893,-0.766765022,-0.116461165,0,Arable
470.2509048,352.9390519,0.314133318,0.446237194,0,8.65E-05,-0.770240776,-0.833274126,0,Arable
470.3009048,352.9390519,0.363288777,0.450797431,0.023544971,0.201767719,-0.754666221,0.146868318,0,Arable
470.3509048,352.9390519,0.398251472,0.460770023,0.002729551,0.345217106,-0.720606879,-0.719646931,0,Arable
470.4009048,352.9390519,0.42480687,0.47581478,0.019147201,0.454171964,-0.6692246,-0.036204439,0,Arable
470.4509048,352.9390519,0.455321335,0.495469874,0.012321343,0.579370587,-0.602096662,-0.320354789,0,Arable
470.5009048,352.9390519,0.489054352,0.519211986,0.019877193,0.717774695,-0.521010351,-0.005815873,0,Arable
470.5509048,352.9390519,0.525386335,0.546508717,0,0.866842168,-0.427783971,-0.833274126,0,Arable
470.6009048,352.9390519,0.563815078,0.576855674,0.039612152,1.024512497,-0.324140169,0.815721333,0,Arable
470.6509048,352.9390519,0.603940464,0.609797638,0.000504536,1.189144026,-0.211633653,-0.812271059,0,Pasture
470.7009048,352.9390519,0.645446145,0.64493709,0.021140417,1.359438803,-0.091622067,0.046770256,0,Pasture
470.7509048,352.9390519,0.688082384,0.681934411,1.77E-05,1.534372181,0.034734688,-0.832536876,0,Pasture
470.8009048,352.9390519,0.719930002,0.720503457,0.015091524,1.665040635,0.166459348,-0.205036208,0,Pasture
470.8509048,352.9390519,0.72586777,0.760405104,0.020647923,1.689402862,0.302735233,0.026268426,0,Pasture
470.9009048,352.9390519,0.735165852,0.801440337,0.009872947,1.727552215,0.442882646,-0.422277898,0,Pasture
469.1009048,352.8890519,0.543634245,0.483616742,0.019537687,0.94171201,-0.642578602,-0.019949026,0,Arable
469.1509048,352.8890519,0.494650833,0.437465169,0.000430862,0.740736648,-0.800199825,-0.815337956,0,Arable
469.2009048,352.8890519,0.445893151,0.392258072,0,0.540687434,-0.954595385,-0.833274126,0,Arable
469.2509048,352.8890519,0.397444281,0.348363339,0.02072899,0.341905259,-1.104508835,0.02964318,0,Arable
469.3009048,352.8890519,0.349432699,0.306345617,0,0.144917244,-1.24801174,-0.833274126,0,Arable
469.3509048,352.8890519,0.302066989,0.267092228,0,-0.049420806,-1.382073634,-0.833274126,0,Arable
469.4009048,352.8890519,0.255706318,0.232010515,0,-0.239635258,-1.501888022,-0.833274126,0,Arable
469.4509048,352.8890519,0.21101416,0.203271986,0.020415597,-0.423003919,-1.600038571,0.016597036,0,Arable
469.5009048,352.8890519,0.169316953,0.183875287,0,-0.594084516,-1.666284014,-0.833274126,0,Arable
469.5509048,352.8890519,0.133452184,0.176920157,0,-0.741235046,-1.690037831,-0.833274126,0,Arable
469.6009048,352.8890519,0.109319441,0.183824272,0.061724134,-0.840249928,-1.666458243,1.736210465,0,Arable
469.6509048,352.8890519,0.102223455,0.203179684,0,-0.86936424,-1.600353807,-0.833274126,0,Arable
469.7009048,352.8890519,0.084331571,0.231889209,0.028513476,-0.942773334,-1.502302319,0.353699863,0,Arable
469.7509048,352.8890519,0.076855262,0.26695173,0.006554649,-0.973448084,-1.382553476,-0.560413718,0,Arable
469.8009048,352.8890519,0.089278348,0.3061925,0,-0.922477069,-1.24853468,-0.833274126,0,Arable
469.8509048,352.8890519,0.046852786,0.348201764,0.039798286,-1.096546053,-1.105060664,0.823469877,0,Arable
469.9009048,352.8890519,0.035160897,0.392090664,0.022097945,-1.144517021,-0.955167132,0.086630769,0,Arable
469.9509048,352.8890519,0.057052449,0.43729362,0,-1.054697581,-0.800785716,-0.833274126,0,Arable
470.0009048,352.8890519,0.100907066,0.483442169,0,-0.87476529,-0.643174818,-0.833274126,0,Arable
470.0509048,352.8890519,0.148692602,0.529018174,0,-0.678704722,-0.487519329,-0.833274126,0,Arable
470.1009048,352.8890519,0.193558623,0.51376154,0,-0.494622713,-0.539625233,-0.833274126,0,Arable
470.1509048,352.8890519,0.236143886,0.503032415,0.035107516,-0.319898489,-0.576268356,0.628200054,0,Arable
470.2009048,352.8890519,0.28118131,0.49712403,0,-0.135113226,-0.596447232,-0.833274126,0,Arable
470.2509048,352.8890519,0.312388084,0.496208617,0,-0.00707411,-0.599573636,-0.833274126,0,Arable
470.3009048,352.8890519,0.330821638,0.500313584,0.003194229,0.068557418,-0.585553964,-0.700303078,0,Arable
470.3509048,352.8890519,0.355386547,0.509317557,0.019040531,0.169345446,-0.554802745,-0.040644929,0,Arable
470.4009048,352.8890519,0.38491069,0.522967556,0.021890419,0.29048085,-0.508183975,0.077991702,0,Arable
470.4509048,352.8890519,0.418345408,0.540911966,0.006955316,0.427661059,-0.446898525,-0.54373455,0,Arable
470.5009048,352.8890519,0.454829113,0.562740123,0.024839737,0.577351037,-0.372348936,0.200767487,0,Arable
470.5509048,352.8890519,0.493686301,0.588019674,0.025990885,0.736779242,-0.286011819,0.248688042,0,Arable
470.6009048,352.8890519,0.534399481,0.616326072,0.053936239,0.903822448,-0.189337125,1.412011981,0,Arable
470.6509048,352.8890519,0.576575621,0.647262326,0.020669047,1.076868072,-0.083680702,0.02714779,0,Pasture
470.7009048,352.8890519,0.619916195,0.680469844,0.020864597,1.254691282,0.029732761,0.03528823,0,Pasture
470.7509048,352.8890519,0.664193292,0.715632517,0,1.436356983,0.149823653,-0.833274126,0,Pasture
470.8009048,352.8890519,0.670122236,0.752476305,0,1.460683006,0.275656049,-0.833274126,0,Pasture
470.8509048,352.8890519,0.676497319,0.790766262,0.004339723,1.486839505,0.406427536,-0.652617872,0,Pasture
470.9009048,352.8890519,0.686464445,0.830302338,0.017221948,1.527733894,0.541454886,-0.116349846,0,Pasture
