grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9,SO.10,SO.11,SO.12,SO.13,SO.14,sep,hab
366,470.2509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
367,470.3009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
368,470.3509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
369,470.4009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
370,470.4509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
371,470.5009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
372,470.5509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
373,470.6009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
374,470.6509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
375,470.7009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
376,470.7509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
377,470.8009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
378,470.8509048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
379,470.9009048,351.6390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
385,469.3009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
386,469.3509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
387,469.4009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
388,469.4509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
389,469.5009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
390,469.5509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
391,469.6009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
392,469.6509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
393,469.7009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
394,469.7509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
395,469.8009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
396,469.8509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
397,469.9009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
398,469.9509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
399,470.0009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
400,470.0509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
401,470.1009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
402,470.1509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
403,470.2009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
404,470.2509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
405,470.3009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
406,470.3509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
407,470.4009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
408,470.4509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
409,470.5009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
410,470.5509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
411,470.6009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
414,470.7509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
415,470.8009048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
416,470.8509048,351.6890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
422,469.2509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
423,469.3009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
424,469.3509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
425,469.4009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
426,469.4509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
427,469.5009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
428,469.5509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
429,469.6009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
430,469.6509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
431,469.7009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
432,469.7509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
433,469.8009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
434,469.8509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
435,469.9009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
436,469.9509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
437,470.0009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
438,470.0509048,351.7390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
439,470.1009048,351.7390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
440,470.1509048,351.7390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
441,470.2009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
442,470.2509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
443,470.3009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
444,470.3509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
445,470.4009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
446,470.4509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
447,470.5009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
448,470.5509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
453,470.8009048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
454,470.8509048,351.7390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
460,469.2509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
461,469.3009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
462,469.3509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
463,469.4009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
464,469.4509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
465,469.5009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
466,469.5509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
467,469.6009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
468,469.6509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
469,469.7009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
470,469.7509048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
471,469.8009048,351.7890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
